date_heure,consommation
2024-04-11 05:30:00+00:00,7817.0
2024-04-11 05:45:00+00:00,7808.0
2024-04-11 06:00:00+00:00,7900.0
2024-04-11 06:15:00+00:00,7904.0
2024-04-11 06:30:00+00:00,7801.0
2024-04-11 06:45:00+00:00,7824.0
2024-04-11 07:00:00+00:00,7766.0
2024-04-11 07:15:00+00:00,7940.0
2024-04-11 07:30:00+00:00,7795.0
2024-04-11 07:45:00+00:00,7652.0
2024-04-11 08:00:00+00:00,7659.0
2024-04-11 08:15:00+00:00,7492.0
2024-04-11 08:30:00+00:00,7446.0
2024-04-11 08:45:00+00:00,7558.0
2024-04-11 09:00:00+00:00,7422.0
2024-04-11 09:15:00+00:00,7405.0
2024-04-11 09:30:00+00:00,7373.0
2024-04-11 09:45:00+00:00,7522.0
2024-04-11 10:00:00+00:00,7401.0
2024-04-11 10:15:00+00:00,7328.0
2024-04-11 10:30:00+00:00,7260.0
2024-04-11 10:45:00+00:00,7482.0
2024-04-11 11:00:00+00:00,7384.0
2024-04-11 11:15:00+00:00,7398.0
2024-04-11 11:30:00+00:00,7183.0
2024-04-11 11:45:00+00:00,7047.0
2024-04-11 12:00:00+00:00,6945.0
2024-04-11 12:15:00+00:00,6927.0
2024-04-11 12:30:00+00:00,6882.0
2024-04-11 12:45:00+00:00,6751.0
2024-04-11 13:00:00+00:00,6808.0
2024-04-11 13:15:00+00:00,6920.0
2024-04-11 13:30:00+00:00,6711.0
2024-04-11 13:45:00+00:00,6681.0
2024-04-11 14:00:00+00:00,6565.0
2024-04-11 14:15:00+00:00,6558.0
2024-04-11 14:30:00+00:00,6461.0
2024-04-11 14:45:00+00:00,6567.0
2024-04-11 15:00:00+00:00,6417.0
2024-04-11 15:15:00+00:00,6436.0
2024-04-11 15:30:00+00:00,6350.0
2024-04-11 15:45:00+00:00,6502.0
2024-04-11 16:00:00+00:00,6490.0
2024-04-11 16:15:00+00:00,6632.0
2024-04-11 16:30:00+00:00,6640.0
2024-04-11 16:45:00+00:00,6716.0
2024-04-11 17:00:00+00:00,6776.0
2024-04-11 17:15:00+00:00,6724.0
2024-04-11 17:30:00+00:00,6847.0
2024-04-11 17:45:00+00:00,6745.0
2024-04-11 18:00:00+00:00,6824.0
2024-04-11 18:15:00+00:00,6793.0
2024-04-11 18:30:00+00:00,6941.0
2024-04-11 18:45:00+00:00,6895.0
2024-04-11 19:00:00+00:00,6939.0
2024-04-11 19:15:00+00:00,6831.0
2024-04-11 19:30:00+00:00,6701.0
2024-04-11 19:45:00+00:00,6513.0
2024-04-11 20:00:00+00:00,6635.0
2024-04-11 20:15:00+00:00,6669.0
2024-04-11 20:30:00+00:00,6688.0
2024-04-11 20:45:00+00:00,6699.0
2024-04-11 21:00:00+00:00,6769.0
2024-04-11 21:15:00+00:00,6817.0
2024-04-11 21:30:00+00:00,6636.0
2024-04-11 21:45:00+00:00,6578.0
2024-04-11 22:00:00+00:00,6449.0
2024-04-11 22:15:00+00:00,6399.0
2024-04-11 22:30:00+00:00,6221.0
2024-04-11 22:45:00+00:00,6180.0
2024-04-11 23:00:00+00:00,6016.0
2024-04-11 23:15:00+00:00,6159.0
2024-04-11 23:30:00+00:00,6064.0
2024-04-11 23:45:00+00:00,6046.0
2024-04-12 00:00:00+00:00,6094.0
2024-04-12 00:15:00+00:00,6068.0
2024-04-12 00:30:00+00:00,6063.0
2024-04-12 00:45:00+00:00,5965.0
2024-04-12 01:00:00+00:00,5966.0
2024-04-12 01:15:00+00:00,5932.0
2024-04-12 01:30:00+00:00,5894.0
2024-04-12 01:45:00+00:00,5810.0
2024-04-12 02:00:00+00:00,5895.0
2024-04-12 02:15:00+00:00,5915.0
2024-04-12 02:30:00+00:00,5908.0
2024-04-12 02:45:00+00:00,5951.0
2024-04-12 03:00:00+00:00,6003.0
2024-04-12 03:15:00+00:00,6044.0
2024-04-12 03:30:00+00:00,6180.0
2024-04-12 03:45:00+00:00,6380.0
2024-04-12 04:00:00+00:00,6402.0
2024-04-12 04:15:00+00:00,6648.0
2024-04-12 04:30:00+00:00,6760.0
2024-04-12 04:45:00+00:00,6944.0
2024-04-12 05:00:00+00:00,7031.0
2024-04-12 05:15:00+00:00,7026.0
2024-04-12 05:30:00+00:00,7278.0
2024-04-12 05:45:00+00:00,7315.0
2024-04-12 06:00:00+00:00,7347.0
2024-04-12 06:15:00+00:00,7410.0
2024-04-12 06:30:00+00:00,7428.0
2024-04-12 06:45:00+00:00,7532.0
2024-04-12 07:00:00+00:00,7393.0
2024-04-12 07:15:00+00:00,7498.0
2024-04-12 07:30:00+00:00,7449.0
2024-04-12 07:45:00+00:00,7446.0
2024-04-12 08:00:00+00:00,7326.0
2024-04-12 08:15:00+00:00,7400.0
2024-04-12 08:30:00+00:00,7255.0
2024-04-12 08:45:00+00:00,7215.0
2024-04-12 09:00:00+00:00,7227.0
2024-04-12 09:15:00+00:00,7232.0
2024-04-12 09:30:00+00:00,7103.0
2024-04-12 09:45:00+00:00,7122.0
2024-04-12 10:00:00+00:00,6990.0
2024-04-12 10:15:00+00:00,6920.0
2024-04-12 10:30:00+00:00,6910.0
2024-04-12 10:45:00+00:00,7161.0
2024-04-12 11:00:00+00:00,7299.0
2024-04-12 11:15:00+00:00,7345.0
2024-04-12 11:30:00+00:00,7146.0
2024-04-12 11:45:00+00:00,7121.0
2024-04-12 12:00:00+00:00,7105.0
2024-04-12 12:15:00+00:00,6961.0
2024-04-12 12:30:00+00:00,6848.0
2024-04-12 12:45:00+00:00,6717.0
2024-04-12 13:00:00+00:00,6742.0
2024-04-12 13:15:00+00:00,6636.0
2024-04-12 13:30:00+00:00,6647.0
2024-04-12 13:45:00+00:00,6611.0
2024-04-12 14:00:00+00:00,6511.0
2024-04-12 14:15:00+00:00,6583.0
2024-04-12 14:30:00+00:00,6537.0
2024-04-12 14:45:00+00:00,6400.0
2024-04-12 15:00:00+00:00,6446.0
2024-04-12 15:15:00+00:00,6252.0
2024-04-12 15:30:00+00:00,6207.0
2024-04-12 15:45:00+00:00,6115.0
2024-04-12 16:00:00+00:00,6098.0
2024-04-12 16:15:00+00:00,6340.0
2024-04-12 16:30:00+00:00,6545.0
2024-04-12 16:45:00+00:00,6503.0
2024-04-12 17:00:00+00:00,6438.0
2024-04-12 17:15:00+00:00,6429.0
2024-04-12 17:30:00+00:00,6537.0
2024-04-12 17:45:00+00:00,6485.0
2024-04-12 18:00:00+00:00,6414.0
2024-04-12 18:15:00+00:00,6473.0
2024-04-12 18:30:00+00:00,6443.0
2024-04-12 18:45:00+00:00,6585.0
2024-04-12 19:00:00+00:00,6538.0
2024-04-12 19:15:00+00:00,6437.0
2024-04-12 19:30:00+00:00,6366.0
2024-04-12 19:45:00+00:00,6246.0
2024-04-12 20:00:00+00:00,6229.0
2024-04-12 20:15:00+00:00,6318.0
2024-04-12 20:30:00+00:00,6264.0
2024-04-12 20:45:00+00:00,6431.0
2024-04-12 21:00:00+00:00,6396.0
2024-04-12 21:15:00+00:00,6572.0
2024-04-12 21:30:00+00:00,6456.0
2024-04-12 21:45:00+00:00,6122.0
2024-04-12 22:00:00+00:00,6137.0
2024-04-12 22:15:00+00:00,6009.0
2024-04-12 22:30:00+00:00,5852.0
2024-04-12 22:45:00+00:00,5665.0
2024-04-12 23:00:00+00:00,5655.0
2024-04-12 23:15:00+00:00,5616.0
2024-04-12 23:30:00+00:00,5554.0
2024-04-12 23:45:00+00:00,5510.0
2024-04-13 00:00:00+00:00,5517.0
2024-04-13 00:15:00+00:00,5494.0
2024-04-13 00:30:00+00:00,5410.0
2024-04-13 00:45:00+00:00,5385.0
2024-04-13 01:00:00+00:00,5309.0
